ASFIS_species,scientific_name,pooled_commodity,ISSCAAP_group,ISSCAAP_division,exvessel_estimated
Trout sweetlips,Plectorhinchus pictus,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
Trumpet emperor,Lethrinus miniatus,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
Weeverfishes nei,Trachinidae,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
Weevers nei,Trachinus spp,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
West African ladyfish,Elops lacerta,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
White grunt,Haemulon plumierii,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
White margate,Haemulon album,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
White mullet,Mugil curema,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
"Wrasses, hogfishes, etc. nei",Labridae,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
Yellowbar angelfish,Pomacanthus maculosus,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
Yellowbelly rockcod,Notothenia neglecta,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
Yellowfin notie,Nototheniops nudifrons,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
Yellowlip emperor,Lethrinus xanthochilus,Misc. coastal fishes,Miscellaneous coastal fishes,MARINE FISHES,1
Atlantic puffers nei,Sphoeroides spp,Puffers,Miscellaneous coastal fishes,MARINE FISHES,1
Northern puffer,Sphoeroides maculatus,Puffers,Miscellaneous coastal fishes,MARINE FISHES,1
Puffers nei,Tetraodontidae,Puffers,Miscellaneous coastal fishes,MARINE FISHES,1
Silver-cheeked toadfish,Lagocephalus sceleratus,Puffers,Miscellaneous coastal fishes,MARINE FISHES,1
Argentine goatfish,Mullus argentinae,Red mullet,Miscellaneous coastal fishes,MARINE FISHES,1
Goatfishes,Upeneus spp,Red mullet,Miscellaneous coastal fishes,MARINE FISHES,1
"Goatfishes, red mullets nei",Mullidae,Red mullet,Miscellaneous coastal fishes,MARINE FISHES,1
Red mullet,Mullus barbatus,Red mullet,Miscellaneous coastal fishes,MARINE FISHES,1
Surmullet,Mullus surmuletus,Red mullet,Miscellaneous coastal fishes,MARINE FISHES,1
Surmullets(=Red mullets) nei,Mullus spp,Red mullet,Miscellaneous coastal fishes,MARINE FISHES,1
West African goatfish,Pseudupeneus prayensis,Red mullet,Miscellaneous coastal fishes,MARINE FISHES,1
Yellowstripe goatfish,Mulloidichthys flavolineatus,Red mullet,Miscellaneous coastal fishes,MARINE FISHES,1
Korean sandlance,Hypoptychus dybowskii,Sandlance,Miscellaneous coastal fishes,MARINE FISHES,1
Pacific sandlance,Ammodytes personatus,Sandlance,Miscellaneous coastal fishes,MARINE FISHES,1
Sandeels(=Sandlances) nei,Ammodytes spp,Sandlance,Miscellaneous coastal fishes,MARINE FISHES,1
[Arius spp],Arius spp,Sea catfish,Miscellaneous coastal fishes,MARINE FISHES,1
Giant catfish,Arius thalassinus,Sea catfish,Miscellaneous coastal fishes,MARINE FISHES,1
Sea catfishes nei,Ariidae,Sea catfish,Miscellaneous coastal fishes,MARINE FISHES,1
White barbel,Galeichthys feliceps,Sea catfish,Miscellaneous coastal fishes,MARINE FISHES,1
[Paralabrax spp],Paralabrax spp,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Argentine seabass,Acanthistius brasilianus,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Black seabass,Centropristis striata,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
European seabass,Dicentrarchus labrax,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Giant seabass,Stereolepis gigas,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Japanese seabass,Lateolabrax japonicus,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Peruvian rock seabass,Paralabrax humeralis,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Pink maomao,Caprodon longimanus,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Rock sea bass,Centropristis philadelphica,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Seabasses nei,Dicentrarchus spp,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Spotted seabass,Dicentrarchus punctatus,Seabass,Miscellaneous coastal fishes,MARINE FISHES,1
Angolan dentex,Dentex angolensis,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Annular seabream,Diplodus annularis,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Axillary seabream,Pagellus acarne,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Black musselcracker,Cymatoceps nasutus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Black seabream,Spondyliosoma cantharus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Blackhead seabream,Acanthopagrus schlegeli,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Blackspot(=red) seabream,Pagellus bogaraveo,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Bluespotted seabream,Pagrus caeruleostictus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Bogue,Boops boops,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Carpenter seabream,Argyrozona argyrozona,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Common dentex,Dentex dentex,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Common pandora,Pagellus erythrinus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Common two-banded seabream,Diplodus vulgaris,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Congo dentex,Dentex congoensis,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Daggerhead breams nei,Chrysoblephus spp,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Dentex nei,Dentex spp,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Goldsilk seabream,Acanthopagrus berda,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Haffara seabream,Rhabdosargus haffara,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Jolthead porgy,Calamus bajonado,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Karanteen seabream,Crenidens crenidens,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
King soldier bream,Argyrops spinifer,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Large-eye dentex,Dentex macrophthalmus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Pacific porgy,Calamus brachysomus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Pandoras nei,Pagellus spp,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Panga seabream,Pterogymnus laniarius,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Pargo breams nei,Pagrus spp,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Pinfish,Lagodon rhomboides,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Pink dentex,Dentex gibbosus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Porgies,Calamus spp,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
"Porgies, seabreams nei",Sparidae,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Red pandora,Pagellus bellottii,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Red porgy,Pagrus pagrus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Red steenbras,Petrus rupestris,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Saddled seabream,Oblada melanura,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Salema,Sarpa salpa,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Sand steenbras,Lithognathus mormyrus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Santer seabream,Cheimerius nufar,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Sargo breams nei,Diplodus spp,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Scup,Stenotomus chrysops,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Sharpsnout seabream,Diplodus puntazzo,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Sheepshead,Archosargus probatocephalus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Silver seabream,Pagrus auratus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Sobaity seabream,Sparidentex hasta,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
South American silver porgy,Diplodus argenteus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Steenbrasses nei,Lithognathus spp,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Stumpnoses nei,Rhabdosargus spp,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Twobar seabream,Acanthopagrus bifasciatus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Western Atlantic seabream,Archosargus rhomboidalis,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
White seabream,Diplodus sargus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
White steenbras,Lithognathus lithognathus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
White stumpnose,Rhabdosargus globiceps,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
Yellowfin seabream,Acanthopagrus latus,Seabreams,Miscellaneous coastal fishes,MARINE FISHES,1
African forktail snapper,Apsilus fuscus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Black snapper,Apsilus dentatus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Blackfin snapper,Lutjanus buccanella,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Brownstripe red snapper,Lutjanus vitta,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Cardinal snapper,Pristipomoides macrophthalmus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Common bluestripe snapper,Lutjanus kasmira,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Cubera snapper,Lutjanus cyanopterus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Five-lined snapper,Lutjanus quinquelineatus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Green jobfish,Aprion virescens,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Grey snapper,Lutjanus griseus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Humpback red snapper,Lutjanus gibbus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Jobfishes nei,Pristipomoides spp,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
John's snapper,Lutjanus johnii,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Lane snapper,Lutjanus synagris,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Malabar blood snapper,Lutjanus malabaricus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Mangrove red snapper,Lutjanus argentimaculatus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Mexican barred snapper,Hoplopagrus guentherii,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Mutton snapper,Lutjanus analis,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Northern red snapper,Lutjanus campechanus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Pacific red snapper,Lutjanus peru,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Queen snapper,Etelis oculatus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Rusty jobfish,Aphareus rutilans,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Silk snapper,Lutjanus vivanus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Snappers nei,Lutjanus spp,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
"Snappers, jobfishes nei",Lutjanidae,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Southern red snapper,Lutjanus purpureus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Spotted rose snapper,Lutjanus guttatus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Two-spot red snapper,Lutjanus bohar,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Vermilion snapper,Rhomboplites aurorubens,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Wenchman,Pristipomoides aquilonaris,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Yellow snapper,Lutjanus argentiventris,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Yellowtail snapper,Ocyurus chrysurus,Snappers,Miscellaneous coastal fishes,MARINE FISHES,1
Acoupa weakfish,Cynoscion acoupa,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Green weakfish,Cynoscion virescens,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Jamaica weakfish,Cynoscion jamaicensis,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
King weakfish,Macrodon ancylodon,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Peruvian weakfish,Cynoscion analis,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Sand weakfish,Cynoscion arenarius,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Smooth weakfish,Cynoscion leiarchus,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Spotted weakfish,Cynoscion nebulosus,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Squeteague(=Gray weakfish),Cynoscion regalis,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Striped weakfish,Cynoscion striatus,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Stripped weakfish,Cynoscion guatucupa,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
Weakfishes nei,Cynoscion spp,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
White weakfish,Atractoscion nobilis,Weakfish,Miscellaneous coastal fishes,MARINE FISHES,1
American angler,Lophius americanus,Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,1
Angler(=Monk),Lophius piscatorius,Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,1
Anglerfishes nei,Lophiidae,Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,1
Blackbellied angler,Lophius budegassa,Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,1
Blackfin goosefish,Lophius gastrophysus,Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,1
Devil anglerfish,Lophius vomerinus,Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,1
Monkfishes nei,Lophius spp,Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,1
Shortspine African angler,Lophius vaillanti,Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,1
Atlantic redfishes nei,Sebastes spp,Atlantic redfishes,Miscellaneous demersal fishes,MARINE FISHES,1
Beaked redfish,Sebastes mentella,Atlantic redfishes,Miscellaneous demersal fishes,MARINE FISHES,1
Golden redfish,Sebastes marinus,Atlantic redfishes,Miscellaneous demersal fishes,MARINE FISHES,1
Norway redfish,Sebastes viviparus,Atlantic redfishes,Miscellaneous demersal fishes,MARINE FISHES,1
Patagonian redfish,Sebastes oculatus,Atlantic redfishes,Miscellaneous demersal fishes,MARINE FISHES,1
American conger,Conger oceanicus,Conger,Miscellaneous demersal fishes,MARINE FISHES,1
Argentine conger,Conger orbignyanus,Conger,Miscellaneous demersal fishes,MARINE FISHES,1
"Conger eels, etc. nei",Congridae,Conger,Miscellaneous demersal fishes,MARINE FISHES,1
European conger,Conger conger,Conger,Miscellaneous demersal fishes,MARINE FISHES,1
Whitespotted conger,Conger myriaster,Conger,Miscellaneous demersal fishes,MARINE FISHES,1
Bearded brotula,Brotula barbata,Cusk-eel (=kingklip),Miscellaneous demersal fishes,MARINE FISHES,1
Black cusk-eel,Genypterus maculatus,Cusk-eel (=kingklip),Miscellaneous demersal fishes,MARINE FISHES,1
Cusk-eels nei,Genypterus spp,Cusk-eel (=kingklip),Miscellaneous demersal fishes,MARINE FISHES,1
"Cusk-eels, brotulas nei",Ophidiidae,Cusk-eel (=kingklip),Miscellaneous demersal fishes,MARINE FISHES,1
Kingklip,Genypterus capensis,Cusk-eel (=kingklip),Miscellaneous demersal fishes,MARINE FISHES,1
Pink cusk-eel,Genypterus blacodes,Cusk-eel (=kingklip),Miscellaneous demersal fishes,MARINE FISHES,1
Red cusk-eel,Genypterus chilensis,Cusk-eel (=kingklip),Miscellaneous demersal fishes,MARINE FISHES,1
Atlantic searobins,Prionotus spp,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Bluefin gurnard,Chelidonichthys kumu,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Cape gurnard,Chelidonichthys capensis,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Grey gurnard,Eutrigla gurnardus,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
"Gurnards, searobins nei",Triglidae,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Latchet(=Sharpbeak gurnard),Pterygotrigla polyommata,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Red gurnard,Aspitrigla cuculus,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Scaly gurnard,Lepidotrigla brachyoptera,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Spotted gurnard,Pterygotrigla picta,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Streaked gurnard,Chelidonichthys lastoviza,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Tub gurnard,Chelidonichthys lucerna,Gurnard,Miscellaneous demersal fishes,MARINE FISHES,1
Black scabbardfish,Aphanopus carbo,Hairtails,Miscellaneous demersal fishes,MARINE FISHES,1
Frostfishes,Benthodesmus spp,Hairtails,Miscellaneous demersal fishes,MARINE FISHES,1
"Hairtails, scabbardfishes nei",Trichiuridae,Hairtails,Miscellaneous demersal fishes,MARINE FISHES,1
Intermediate scabbardfish,Aphanopus intermedius,Hairtails,Miscellaneous demersal fishes,MARINE FISHES,1
Largehead hairtail,Trichiurus lepturus,Hairtails,Miscellaneous demersal fishes,MARINE FISHES,1
Silver scabbardfish,Lepidopus caudatus,Hairtails,Miscellaneous demersal fishes,MARINE FISHES,1
Capro dory,Capromimus abbreviatus,John dory,Miscellaneous demersal fishes,MARINE FISHES,1
Dories nei,Zeidae,John dory,Miscellaneous demersal fishes,MARINE FISHES,1
John dory,Zeus faber,John dory,Miscellaneous demersal fishes,MARINE FISHES,1
King dory,Cyttus traversi,John dory,Miscellaneous demersal fishes,MARINE FISHES,1
Mirror dory,Zenopsis nebulosus,John dory,Miscellaneous demersal fishes,MARINE FISHES,1
New Zealand dory,Cyttus novaezealandiae,John dory,Miscellaneous demersal fishes,MARINE FISHES,1
Silvery John dory,Zenopsis conchifer,John dory,Miscellaneous demersal fishes,MARINE FISHES,1
Lumpfish(=Lumpsucker),Cyclopterus lumpus,Lumpfish,Miscellaneous demersal fishes,MARINE FISHES,1
[Chionobathyscus dewitti],Chionobathyscus dewitti,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
[Chionodraco hamatus],Chionodraco hamatus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
[Parachaenichthys georgianus],Parachaenichthys georgianus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Antarctic horsefish,Zanclorhynchus spinifer,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Argentine,Argentina sphyraena,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Argentines,Argentina spp,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Atlantic goldeneye tilefish,Caulolatilus chrysops,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Baird's slickhead,Alepocephalus bairdii,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Banded yellowfish,Centriscops humerosus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Barracudinas nei,Notolepis spp,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Barrelfish,Hyperoglyphe perciformis,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Basketwork eel,Diastobranchus capensis,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Bigspined boarfish,Pentaceros decacanthus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Black cardinal fish,Epigonus telescopus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Black driftfish,Hyperoglyphe bythites,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Black scorpionfish,Scorpaena porcus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Blackbelly rosefish,Helicolenus dactylopterus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Blackfin icefish,Chaenocephalus aceratus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Blackmouth splitfin,Synagrops japonicus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Blackthroat seaperch,Doederleinia berycoides,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Bluenose warehou,Hyperoglyphe antarctica,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Boarfish,Capros aper,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Boarfishes nei,Caproidae,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
"Bonnetmouths, rubyfishes nei",Emmelichthyidae,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Cape bonnetmouth,Emmelichthys nitidus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Cardinal fishes nei,Epigonus spp,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Castaneta,Cheilodactylus bergi,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Choicy ruff,Seriolella porosa,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Common warehou,Seriolella brama,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Crested bellowfish,Notopogon lilliei,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Crocodile icefishes nei,Channichthyidae,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Deep-sea smelt,Glossanodon semifasciatus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Demersal percomorphs nei,Perciformes,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Duckbill barracudina,Magnisudis atlantica,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Eelpouts,Lycodes spp,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Electron subantarctic,Electrona carlsbergi,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Giant boarfish,Paristiopterus labiosus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Giant stargazer,Kathetostoma giganteum,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Great Northern tilefish,Lopholatilus chamaeleonticeps,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Greater argentine,Argentina silus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Greeneyes,Chlorophthalmidae,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Grey tilefish,Caulolatilus microps,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Hapuku wreckfish,Polyprion oxygeneios,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Hector's lanternfish,Lampanyctodes hectoris,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Imperial blackfish,Schedophilus ovalis,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Indian driftfish,Ariomma indica,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Japanese sandfish,Arctoscopus japonicus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Jonah's icefish,Neopagetopsis ionah,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Lantern fish,Lampanyctus achirus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Lanternfishes nei,Myctophidae,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Longspine snipefish,Macroramphosus scolopax,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Longtail Southern cod,Patagonotothen ramsayi,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Mackerel icefish,Champsocephalus gunnari,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Morwongs,Nemadactylus spp,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Myers' icefish,Chionodraco myersi,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Nichol's lanternfish,Gymnoscopelus nicholsi,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Ocean whitefish,Caulolatilus princeps,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Ocellated icefish,Chionodraco rastrospinosus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Offshore rockfish,Pontinus kuhlii,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Pacific rudderfish,Psenopsis anomala,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Pacific tripletail,Lobotes pacificus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Patagonian rockcod,Patagonotothen brevicauda,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Pelagic armourhead,Pseudopentaceros richardsoni,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Pemarco blackfish,Schedophilus pemarco,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Peruvian morwong,Cheilodactylus variegatus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Pike icefish,Champsocephalus esox,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Plunderfish,Pogonophryne permitini,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Red bandfish,Cepola macrophthalma,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Red lionfish,Pterois volitans,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Red scorpionfish,Scorpaena scrofa,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Rubyfish,Plagiogeneion rubiginosum,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Rudderfish,Centrolophus niger,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
"Ruffs, barrelfishes nei",Centrolophidae,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Scorpionfishes nei,Scorpaenidae,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Shortspine thornyhead,Sebastolobus alascanus,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Silver warehou,Seriolella punctata,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Silvery lightfish,Maurolicus muelleri,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
Skilfish,Erilepis zonifer,Misc. demersal fishes,Miscellaneous demersal fishes,MARINE FISHES,1
