ASFIS_species,scientific_name,pooled_commodity,ISSCAAP_group,ISSCAAP_division,exvessel_estimated
American lobster,Homarus americanus,American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
European lobster,Homarus gammarus,American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Andaman lobster,Metanephrops andamanicus,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Arabian whip lobster,Puerulus sewelli,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Blue mud shrimp,Upogebia pugettensis,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Flathead lobster,Thenus orientalis,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Ghost shrimps nei,Callianassa spp,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Japanese fan lobster,Ibacus ciliatus,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Lobsters nei,Reptantia,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Mediterranean slipper lobster,Scyllarides latus,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Metanephrops lobsters nei,Metanephrops spp,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Mozambique lobster,Metanephrops mozambicus,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
New Zealand lobster,Metanephrops challengeri,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Slipper lobsters nei,Scyllaridae,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Southern lobsterette,Thymops birsteini,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Spanish slipper lobster,Scyllarides aequinoctialis,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Velvet fan lobster,Ibacus alticrenatus,Lobsters,"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Norway lobster,Nephrops norvegicus,Norway lobsters (Nephrops spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Chilean jagged lobster,Projasus bahamondei,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)","Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Common spiny lobster,Palinurus elephas,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)","Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Natal spiny lobster,Palinurus delagoae,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)","Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Palinurid spiny lobsters nei,Palinurus spp,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)","Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Pink spiny lobster,Palinurus mauritanicus,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)","Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Southern spiny lobster,Palinurus gilchristi,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)","Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Spiny lobsters nei,Palinuridae,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)","Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Cape rock lobster,Jasus lalandii,Rock lobsters (Jasus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Green rock lobster,Jasus verreauxi,Rock lobsters (Jasus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Juan Fernandez rock lobster,Jasus frontalis,Rock lobsters (Jasus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Red rock lobster,Jasus edwardsii,Rock lobsters (Jasus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Southern rock lobster,Jasus novaehollandiae,Rock lobsters (Jasus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
St.Paul rock lobster,Jasus paulensis,Rock lobsters (Jasus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Tristan da Cunha rock lobster,Jasus tristani,Rock lobsters (Jasus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Australian spiny lobster,Panulirus cygnus,Spiny lobsters (Panulirus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Caribbean spiny lobster,Panulirus argus,Spiny lobsters (Panulirus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Green spiny lobster,Panulirus gracilis,Spiny lobsters (Panulirus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Longlegged spiny lobster,Panulirus longipes,Spiny lobsters (Panulirus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Ornate spiny lobster,Panulirus ornatus,Spiny lobsters (Panulirus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Scalloped spiny lobster,Panulirus homarus,Spiny lobsters (Panulirus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
Tropical spiny lobsters nei,Panulirus spp,Spiny lobsters (Panulirus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,1
[Calanus finmarchicus],Calanus finmarchicus,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Barnacle,Pollicipes pollicipes,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Brine shrimp,Artemia salina,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Giant barnacle,Austromegabalanus psittacus,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Goose barnacles nei,Lepas spp,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
