FAO_commodity,assingment
"Salmonoids nei, dried, whether or not salted, not smoked",unsure
"Salmonoids nei, minced, prepared or preserved",high
"Salmonoids nei, salted or in brine",unsure
"Salmonoids nei, smoked",high
"Salmonoids, fresh or chilled, nei",low
"Salmonoids, frozen",low
"Salmonoids, meat, frozen",low
"Salmonoids, minced, preparations",high
"Salmonoids, not minced, prepared or preserved",unsure
"Salmonoids, salted or in brine",unsure
"Salmonoids, smoked",high
"Smelt, fresh or chilled",low
"Smelts, frozen",low
"Sockeye salmon (red salmon)(Oncorhynchus nerka), frozen",low
"Sockeye salmon, not minced, prepared or preserved, nei",unsure
"Trout fillets, fresh and chilled",low
"Trout fillets, frozen",low
"Trouts, dried, salted",unsure
"Trouts, meat, frozen",low
"Trouts, not minced, prepared or preserved",unsure
"Trouts, salted or in brine",unsure
Trouts and chars live,unsure
"Trouts and chars, fresh or chilled",low
"Trouts and chars, frozen",low
"Trouts and chars, smoked",high
"Whitefishes, fresh or chilled",low
"Whitefishes, frozen",low
"Alewife, dried, salted or in brine",unsure
"Shads, nei, fresh or chilled",low
Caviar,unsure
"Sturgeons, fresh or chilled",low
"Carp fillets, fresh or chilled",low
Carps live,unsure
"Carps, fresh or chilled",low
"Carps, frozen",low
"Catfish  meat, frozen",low
"Catfish fillets, fresh or chilled",low
"Catfish fillets, frozen",low
"Catfish steaks, frozen",low
"Catfish, fresh or chilled",low
"Catfish, frozen",low
"Carps, eels and snakeheads, fillets, fresh or chilled",low
"Carps, eels and snakeheads, fillets, frozen",low
"Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, fresh or chilled",low
"Freshwater fish fillets in blocks, frozen nei",low
"Freshwater fish fillets, fresh or chilled, nei",low
"Freshwater fish fillets, nei, frozen",low
"Freshwater fish meat, whether or not minced, fresh or chilled, nei",low
"Freshwater fish meat, whether or not minced, frozen, nei",low
"Freshwater fish nei prepared or preserved, minced",high
"Freshwater fish nei, fillets, dried, salted, or in brine",unsure
"Freshwater fish nei, frozen",low
"Freshwater fish nei, live",unsure
"Freshwater fish, dried, whether or not salted, not smoked, nei",unsure
"Freshwater fish, nei, fresh or chilled",low
"Freshwater fishes nei, dried, salted, or in brine",unsure
"Freshwater fishes nei, frozen",low
"Freshwater fishes nei, smoked",high
"Freshwater fishes, dried, whether or not salted, nei",unsure
"Freshwater fishes, nei, fresh or chilled",low
"Miscellaneous freshwater fish nei, salted and in brine",unsure
"Miscellaneous freshwater fish, prepared or preserved, not minced, nei",unsure
"Miscellaneous freshwater fish, smoked",high
"Miscellaneous freshwater fishes nei, salted and in brine",unsure
"Miscellaneous freshwater fishes, prepared or preserved, not minced, nei",unsure
"Tilapia, catfish, carp, eel, Nile perch and snakeheads, fillets, dried/salted/brine, not smoked",unsure
"Tilapias, catfish, carp, eels, Nile perch and snakeheads  meat, frozen",low
"Tilapias, catfish, carp, eels, Nile perch and snakeheads, including fillets, smoked",high
"Tilapias, catfish, carp, eels, Nile perch and snakeheads, salted or in brine",unsure
"Nile perch (Lates niloticus) and snakeheads (Channa spp.), frozen",low
"Nile perch and snakeheads (Channa spp.),  fresh or chilled",low
"Nile perch fillets, fresh or chilled",low
"Nile perch fillets, frozen",low
Ornamental freshwater fish,low
"Perch fillets, fresh or chilled",low
"Perch, fresh or chilled",low
"Pike, fresh or chilled",low
"Tilapia fillets, fresh or chilled",low
"Tilapia fillets, frozen",low
"Tilapias prepared or preserved, not minced",unsure
"Tilapias, fresh or chilled",low
"Tilapias, frozen",low
"Alaska pollack fillets, frozen",low
"Alaska pollack meat, whether or not minced, frozen",low
"Alaska pollack roes, frozen",low
"Alaska pollack roes, pickled",unsure
"Alaska pollack, dried, unsalted",unsure
"Alaska Pollack, fresh or chilled",low
"Alaska pollack, frozen",low
"Alaska pollack, meat, whether or not minced, frozen",low
"Alaska pollack, not minced, prepared or preserved",unsure
"Alaska pollack, roes, frozen",low
"Alaska pollack, roes, pickled",unsure
